Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50
2024/8/1 6:30,-0.71,-0.03,0.02,13.44,5.52,122.47,-22.91,-10.08,0.13,0.41,-0.02,0.12,-0.04,15.23,85.2,15.07,8.46,-94.7,73.56,17.8,1.26,1.31,35.71,5.7,97.65,14.83,1.7,1.74,15.07,99.72,1.71,1.72,0.05,12.89,0.42,18.28,20.37,7.89,4.15,0.13,0.08,-12.83,-12.83,-17.93,-27.89,-5.1,-15.06,665.3,19.9,12.74
2024/8/1 7:00,1.37,0.06,0.02,13.3,1.6,-55.01,-18.12,-5.93,-0.4,0.12,-0.02,0.12,-0.01,15.09,85.22,15.22,13.84,-87.2,78.3,17.79,1.29,1.35,66.14,10.06,99.27,14.93,1.71,1.72,15.22,99.62,1.73,1.74,0.07,12.99,0.14,18.3,20.24,7.84,4.15,0.13,0.08,-12.19,-12.19,-9.44,-26.8,2.75,-14.61,655.35,20.03,12.83
2024/8/1 7:30,-0.23,-0.01,0.04,30.17,28.03,-127.05,-7.49,3.34,-0.49,0.93,-0.01,0.11,-0.24,17.43,85.24,15.25,19.34,-79.7,83.04,17.79,0.85,1,101.68,15.4,85.87,14.95,1.71,2,15.25,99.51,1.73,1.74,0.09,13,2.94,18.41,20.12,7.81,4.15,0.13,0.08,-10.83,-10.83,8.49,-23.47,19.32,-12.64,647.02,20.05,12.76
2024/8/1 8:00,-3.41,-0.15,0.05,34.31,21.41,-278.79,-2.17,6.91,-0.2,0.62,-0.01,0.1,-0.2,17.77,85.24,15.55,24.9,-72.2,87.87,17.78,0.75,0.94,157.87,24.65,85.47,15.27,1.74,2.04,15.55,99.31,1.76,1.77,0.12,13.21,2.98,18.6,20.03,7.77,4.15,0.13,0.08,-9.07,-9.07,14.51,-18.84,23.58,-9.77,640.38,20.46,12.99
2024/8/1 8:30,-1.67,-0.07,0.05,35.93,20.41,-275.16,9.01,15.95,-0.2,0.57,0,0.06,-0.35,17.96,85.24,15.94,30.48,-64.7,92.9,17.78,0.57,0.81,182.8,28.32,86.52,15.65,1.79,2.07,15.94,99.19,1.8,1.82,0.15,13.51,2.79,18.87,19.96,7.71,4.14,0.13,0.08,-6.95,-6.95,31.18,-13.17,38.13,-6.22,636.08,20.97,13.3
2024/8/1 9:00,-7.72,-0.34,0.1,67.4,26.8,53.28,16.86,21.39,2.59,0.4,-0.03,0.18,-0.14,17.19,85.25,16.47,36.04,-57.2,98.27,17.77,0.28,0.81,251.76,39.17,93.03,16.01,1.83,1.97,16.47,98.82,1.86,1.88,0.22,13.9,1.39,19.2,19.93,7.7,4.14,0.13,0.08,-4.53,-4.53,40.69,-6.98,45.22,-2.45,628.28,21.45,13.65
2024/8/1 9:30,-3.82,-0.17,0.15,99.29,69.84,1930.79,29.47,31.32,0.09,0.7,0,0.04,-1.79,17.53,85.28,17.42,41.52,-49.69,104.15,17.77,0.62,0.89,493.96,77.47,92.88,16.33,1.87,2.01,17.42,95.67,1.91,2,0.89,14.24,1.46,19.62,19.93,7.68,4.13,0.13,0.08,-1.85,-1.85,58.37,0.56,60.22,2.42,621.5,21.89,13.92
2024/8/1 10:00,-4.42,-0.19,0.17,113.51,68.94,6888.55,55.08,53.69,0.03,0.61,-0.02,0.13,-0.52,18.45,85.31,18.45,46.84,-42.19,110.8,17.76,1.2,1.38,620.98,90.6,88.66,16.52,1.89,2.13,18.45,90.29,1.92,2.13,2.08,14.3,2.44,20.26,19.97,7.65,4.12,0.13,0.08,1.38,1.38,104.24,5.92,102.85,4.53,613.27,22.14,14.03
2024/8/1 10:30,-2.86,-0.13,0.26,175.21,76.7,8117.14,75.22,69.17,0.03,0.44,-0.06,0.24,-0.31,19.45,85.32,19.54,51.92,-34.69,118.55,17.75,0.81,1.01,737.94,104.91,83.48,16.56,1.89,2.27,19.54,84.94,1.94,2.28,3.45,14.34,3.77,21.16,20.05,7.61,4.15,0.14,0.08,6.05,6.05,127.13,23.31,121.07,17.26,605.64,22.18,14.01
2024/8/1 11:00,-6.86,-0.3,0.26,180.4,96.2,9451.95,87.29,75.86,0.03,0.53,-0.01,0.11,-0.86,20.24,85.32,20.53,56.59,-27.19,127.83,17.75,0.59,1.06,706.38,98.18,79.66,16.6,1.9,2.38,20.53,79.99,1.94,2.43,4.85,14.31,4.86,22.16,20.18,7.64,4.17,0.14,0.08,11.43,11.43,146.5,28.09,135.07,16.66,599.74,22.24,14.01
2024/8/1 11:30,-11.82,-0.52,0.4,275.11,169.5,9536.99,93.28,76.65,0.05,0.62,-0.04,0.19,-0.88,21.31,85.32,21.71,60.64,-19.69,139.16,17.74,0.56,1.18,907.48,131.88,71.92,16.02,1.83,2.55,21.71,71.04,1.85,2.61,7.58,13.6,7.17,23.14,20.39,7.61,4.14,0.14,0.08,16.63,16.63,139.49,47.07,122.86,30.43,595.83,21.45,13.46
2024/8/1 12:00,-6.27,-0.28,0.43,289.9,127.88,10245.45,104.99,83.78,0.04,0.44,-0.06,0.24,-0.53,22.4,85.32,22.94,63.76,-12.19,152.99,17.74,0.74,1.14,917.33,136.29,61.99,14.75,1.69,2.72,22.94,59.87,1.68,2.81,11.27,12.31,10.35,24.19,20.66,7.57,4.2,0.14,0.09,21.21,21.21,155.21,54.76,134.01,33.55,594.55,19.77,12.37
2024/8/1 12:30,-8.91,-0.39,0.58,393.85,206.73,11316.62,107.91,83.06,0.05,0.52,-0.22,0.47,-0.43,23.1,85.32,23.88,65.57,-4.69,169.17,17.73,0.56,1.11,914.77,138.12,60.17,14.95,1.71,2.84,23.88,57.29,1.7,2.97,12.71,12.43,11.31,25.2,20.97,7.54,4.21,0.15,0.09,24.85,24.85,146.57,69.25,121.72,44.39,591.65,20.03,12.5
2024/8/1 13:00,-10.98,-0.48,0.61,414.54,125.99,11337.79,102.73,74.1,0.05,0.3,-0.22,0.47,-0.27,23.25,85.29,23.88,65.78,2.81,186.51,17.73,0.33,1.1,906.03,140.85,56.71,14.17,1.62,2.86,23.88,54.28,1.61,2.97,13.6,11.78,12.4,26.07,21.34,7.52,4.23,0.15,0.09,28.63,28.63,125.22,80.24,96.59,51.61,592.68,19.04,11.87
2024/8/1 13:30,-8.86,-0.39,0.5,339.21,145.9,10746.51,96.61,64.22,0.05,0.43,-0.06,0.25,-0.58,23.82,85.28,24.45,64.34,10.31,203.13,17.72,0.87,1.6,898.7,141.37,52.32,13.45,1.55,2.96,24.45,50.22,1.55,3.08,15.33,11.25,14.14,26.8,21.76,7.49,4.27,0.15,0.09,32.38,32.38,113.96,79.26,81.58,46.87,592.13,18.19,11.32
2024/8/1 14:00,-8.35,-0.37,0.48,323.34,139.61,10639.65,110.22,74.13,0.04,0.43,-0.1,0.32,-0.44,24.27,85.26,25.04,61.51,17.81,217.58,17.72,0.98,1.52,874.31,138.23,50.59,13.36,1.54,3.05,25.04,48.26,1.54,3.19,16.49,11.17,15.05,27.52,22.2,7.4,4.29,0.15,0.09,36.09,36.09,129.25,91.19,93.16,55.1,590.95,18.08,11.23
2024/8/1 14:30,-7.1,-0.31,0.42,283.02,104.81,10425.34,118.17,78.55,0.04,0.37,-0.04,0.21,-0.5,24.87,85.25,25.69,57.65,25.31,229.5,17.71,1.38,1.73,840.75,133.53,46.93,12.74,1.48,3.16,25.69,44.56,1.48,3.31,18.38,10.7,16.77,28.31,22.64,7.37,4.32,0.15,0.09,39.62,39.62,141.23,95.11,101.61,55.49,590.02,17.37,10.77
2024/8/1 15:00,-7.18,-0.32,0.48,324.69,100.64,10219.46,118.39,75.98,0.04,0.31,-0.04,0.19,-0.53,25.68,85.23,26.64,53.1,32.81,239.23,17.71,1.22,1.46,809.44,132.06,39.83,10.97,1.32,3.31,26.64,37.36,1.31,3.5,21.95,9.46,19.92,29.1,23.09,7.35,4.35,0.15,0.09,42.41,42.41,138.14,98.65,95.73,56.24,589.54,15.49,9.57
2024/8/1 15:30,-5.55,-0.24,0.37,253.67,83.75,10833.5,113.51,69.2,0.03,0.33,-0.02,0.13,-0.65,26.03,85.21,27.04,48.11,40.31,247.31,17.7,1.38,1.52,755.54,123.36,38.97,10.97,1.32,3.38,27.04,36.24,1.3,3.59,22.88,9.39,20.64,29.84,23.54,7.33,4.38,0.16,0.1,44.31,44.31,131.82,95.2,87.51,50.89,587.94,15.47,9.54
2024/8/1 16:00,-7.72,-0.34,0.41,278.92,88.74,10573.61,106.58,61.21,0.04,0.32,-0.04,0.2,-0.45,26.15,85.18,27.04,42.83,47.81,254.19,17.7,1.91,2.2,657.07,110.8,41.35,11.98,1.41,3.4,27.04,39,1.4,3.59,21.88,10.1,19.97,30.44,24,7.32,4.42,0.16,0.1,45.37,45.37,109.65,103.51,64.28,58.14,585.94,16.53,10.2
2024/8/1 16:30,-5.36,-0.24,0.32,219.86,53.22,9984.24,88.51,43.32,0.03,0.24,-0.02,0.16,-0.34,26.37,85.18,27.28,37.37,55.31,260.23,17.69,2.04,2.2,580.29,101.63,41.7,12.31,1.44,3.45,27.28,39.39,1.43,3.64,22.05,10.33,20.11,30.84,24.46,7.31,4.45,0.16,0.1,45.19,45.19,73.81,103.21,28.62,58.02,584.97,16.89,10.41
2024/8/1 17:00,-4.14,-0.18,0.28,187.06,32.93,9814.62,79.21,35.55,0.02,0.18,-0.06,0.25,-0.13,26.61,85.16,27.41,31.83,62.81,265.71,17.69,2.14,2.27,493.13,93.31,39.61,11.75,1.39,3.5,27.41,37.54,1.38,3.67,22.9,9.92,21.13,31.04,24.9,7.25,4.45,0.16,0.1,43.66,43.66,60.77,97.65,17.11,53.99,584.78,16.28,10.02
2024/8/1 17:30,-1.9,-0.08,0.15,103.44,12.57,9670.06,53.71,12.76,0.01,0.12,-0.03,0.18,-0.07,26.58,85.15,27.39,26.24,70.31,270.8,17.68,2.08,2.17,402.34,83.17,39.35,11.62,1.37,3.49,27.39,37.25,1.36,3.66,22.98,9.83,21.17,31.05,25.31,7.19,4.49,0.15,0.1,40.95,40.95,23.09,84.34,-17.86,43.39,583.77,16.14,9.93
2024/8/1 18:00,-3.84,-0.17,0.2,132.34,13.67,9762.88,38.63,1.34,0.02,0.1,-0.03,0.18,-0.08,26.43,85.15,27.34,20.66,77.81,275.67,17.67,2.65,2.74,226.46,65.34,39.46,11.53,1.37,3.46,27.34,37.13,1.36,3.65,22.96,9.78,20.96,30.87,25.67,7.13,4.53,0.15,0.1,37.29,37.29,-4.08,81.34,-41.38,44.05,583.77,16.05,9.88
2024/8/1 18:30,-1.24,-0.05,0.13,86.3,-6.2,9818.57,15.86,-17.11,0.01,-0.07,-0.03,0.16,0.04,26.05,85.14,26.74,15.14,85.31,280.41,17.67,2.47,2.58,150.75,38,42.85,12.42,1.45,3.38,26.74,40.97,1.44,3.53,20.82,10.44,19.34,30.51,25.97,7.06,4.53,0.15,0.11,32.97,32.97,-38.46,70.18,-71.43,37.21,581.94,17.02,10.5
2024/8/1 19:00,0.75,0.03,0.1,64.76,-12.61,9728.47,-4.43,-32,0.01,-0.19,-0.02,0.14,0.09,25.57,85.15,26.21,9.71,92.81,285.14,17.66,2.6,2.62,60.18,26.66,46.38,13.2,1.52,3.29,26.21,44.45,1.52,3.42,18.98,10.99,17.65,29.94,26.2,7,4.58,0.15,0.11,27.58,27.58,-57.34,48.49,-84.92,20.91,583.74,17.91,11.06
2024/8/1 19:30,1.89,0.08,0.07,46.19,-14.67,9825.19,-26.91,-48.49,0,-0.32,-0.01,0.12,0.12,25.23,85.17,25.93,4.46,100.31,289.93,17.66,2.72,2.73,31.91,18.93,47.8,13.34,1.54,3.22,25.93,45.64,1.53,3.36,18.28,11.1,16.85,29.26,26.35,6.91,4.5,0.14,0.11,21.57,21.57,-79.13,25.3,-100.7,3.73,586.33,18.06,11.17
2024/8/1 20:00,4.5,0.2,0.03,21.15,-13.54,9445.17,-23.41,-39.28,0,-0.64,-0.03,0.17,0.08,23.78,85.19,24.33,-0.62,107.81,294.87,17.65,2.11,2.16,4.11,2.97,57.47,14.84,1.7,2.96,24.33,55.58,1.69,3.06,13.61,12.35,12.61,28.57,26.42,6.85,4.53,0.14,0.11,15.87,15.87,-73.9,27.08,-89.77,11.21,601.88,19.9,12.37
2024/8/1 20:30,-1.17,-0.05,-0.02,-11.07,5.93,8776.16,-42.7,-53.41,0,-0.54,-0.06,0.24,-0.02,22.46,85.2,22.88,-5.79,115.31,300.02,17.65,1.3,1.65,-4.63,1.43,65.75,15.72,1.79,2.73,22.88,64.41,1.8,2.8,9.97,13.19,9.37,27.87,26.42,6.78,4.55,0.14,0.11,10.7,10.7,-91.04,5.64,-101.75,-5.07,612.64,21.05,13.15
2024/8/1 21:00,3.24,0.14,0.02,11.48,-14.97,8098.36,-43.56,-49.75,0,-1.3,-0.01,0.11,0.13,21.5,85.21,21.9,-10.52,122.81,305.46,17.64,1.75,1.81,-4.12,2,71.31,16.08,1.83,2.57,21.9,69.98,1.85,2.64,7.93,13.55,7.4,27.17,26.35,6.73,4.54,0.13,0.11,6.19,6.19,-82.35,-4.77,-88.55,-10.96,621.36,21.53,13.49
2024/8/1 21:30,2.19,0.1,0.01,8.13,-13.02,7942.84,-45.49,-48.01,0,-1.6,-0.02,0.12,0.1,21.24,85.23,21.64,-14.92,130.31,311.24,17.64,1.94,1.99,-3.68,2.27,72.62,16.1,1.84,2.53,21.64,71.31,1.85,2.6,7.46,13.6,6.96,26.53,26.23,6.68,4.54,0.13,0.11,2.53,2.53,-77.68,-13.29,-80.2,-15.82,621.41,21.56,13.53
2024/8/1 22:00,3.13,0.14,-0.01,-3.78,-11.36,7499.71,-51.68,-51.29,0,3.01,-0.03,0.17,0.07,20.67,85.22,20.92,-18.93,137.81,317.43,17.63,1.64,1.93,-2.76,2.07,75.93,16.26,1.86,2.45,20.92,75.27,1.87,2.48,6.15,13.78,5.9,25.94,26.07,6.63,4.53,0.13,0.11,-0.39,-0.39,-75.49,-27.87,-75.1,-27.48,632.44,21.78,13.69
2024/8/1 22:30,2.82,0.12,0.02,11.12,-10.86,6074.03,-49.28,-46.59,0,-0.98,-0.02,0.13,0.08,21.25,85.23,21.45,-22.48,145.32,324.07,17.63,2.25,2.28,-1.29,2.42,71.94,15.97,1.82,2.54,21.45,71.75,1.84,2.57,7.26,13.53,7.14,25.39,25.89,6.61,4.47,0.13,0.11,-2.7,-2.7,-71.53,-27.03,-68.84,-24.34,622.53,21.38,13.41
2024/8/1 23:00,4.21,0.19,0.03,19.53,-13.94,4564.43,-40.9,-36.49,0,-0.71,-0.02,0.12,0.11,20.55,85.24,20.95,-25.48,152.82,331.17,17.62,1.2,1.32,-2.39,0.61,78.21,16.58,1.9,2.43,20.95,76.68,1.91,2.49,5.83,14.05,5.34,24.93,25.68,6.54,4.5,0.12,0.11,-4.41,-4.41,-61.3,-20.5,-56.89,-16.09,637.41,22.24,13.99
2024/8/1 23:30,6.71,0.3,0.03,20.27,-12.64,2403.43,-39.86,-34.42,0,-0.62,-0.03,0.18,0.07,20.73,85.29,20.95,-27.85,160.32,338.72,17.62,1.9,2.08,-0.5,1.7,77.63,16.66,1.9,2.46,20.95,76.94,1.91,2.49,5.74,14.1,5.51,24.57,25.46,6.5,4.56,0.12,0.11,-5.44,-5.44,-49.33,-30.38,-43.9,-24.95,644.41,22.33,14.04
2024/8/2 0:00,3.35,0.15,0.02,10.81,-6.37,2942.3,-33.83,-27.96,0,-0.59,-0.01,0.09,0.07,20.79,85.24,21.07,-29.52,167.82,346.64,17.61,1.73,1.83,-3.78,1.88,77.15,16.62,1.9,2.46,21.07,76.27,1.91,2.51,5.95,14.08,5.64,24.29,25.24,6.52,4.57,0.12,0.11,-5.88,-5.88,-36.54,-31.13,-30.66,-25.25,625.55,22.29,14
2024/8/2 0:30,5.46,0.24,0.05,36.56,-18.2,6122.54,-43.11,-37.09,0,-0.5,-0.02,0.16,0.11,19.84,85.21,20.17,-30.43,175.32,354.82,17.6,2.57,2.64,-3.78,1.74,81.95,16.63,1.9,2.32,20.17,81.02,1.92,2.37,4.52,14.18,4.22,24.02,25.03,6.47,4.56,0.12,0.11,-6.02,-6.02,-48.23,-37.99,-42.21,-31.97,628.8,22.32,14.06
2024/8/2 1:00,3.5,0.15,0.01,9.7,-11.38,6804.21,-42.84,-36.39,0,-1.17,-0.01,0.09,0.13,19.08,85.19,19.53,-30.54,-132.78,47.52,17.6,2.02,2.08,-3.31,1.25,83.47,16.19,1.85,2.22,19.53,81.36,1.85,2.28,4.27,13.71,3.69,23.68,24.83,6.4,4.49,0.12,0.11,-6.45,-6.45,-56.9,-28.77,-50.45,-22.33,628.5,21.7,13.71
2024/8/2 1:30,1.47,0.06,0,-1.21,-5.16,6498.79,-44.06,-36.72,0,4.27,-0.01,0.12,0.04,18.76,85.16,18.98,-29.84,-169.68,11.35,17.59,1.79,1.96,-2.65,1.8,86.73,16.48,1.88,2.17,18.98,86.33,1.9,2.2,3.01,14.1,2.89,23.31,24.63,6.37,4.5,0.12,0.11,-7.34,-7.34,-57.99,-30.13,-50.66,-22.79,637.16,22.11,13.98
2024/8/2 2:00,-0.34,-0.01,0,1.8,-1.2,6184.48,-40.54,-32.2,0,-0.67,-0.01,0.08,0.01,18.45,85.13,18.71,-28.36,-162.18,19.35,17.59,2,2.08,-2.55,1.57,87.38,16.3,1.86,2.13,18.71,86.74,1.88,2.17,2.88,13.95,2.7,22.95,24.44,6.41,4.5,0.11,0.11,-8.35,-8.35,-49.93,-31.16,-41.58,-22.81,642.58,21.86,13.83
2024/8/2 2:30,-0.51,-0.02,0,1.97,-3.32,5952.53,-43.03,-33.8,0,-1.69,-0.01,0.1,0.03,18.33,85.11,18.5,-26.16,-154.68,27,17.58,1.54,1.62,-1.98,1.78,87.08,16.12,1.84,2.12,18.5,87.16,1.86,2.14,2.75,13.84,2.74,22.61,24.23,6.34,4.51,0.11,0.11,-9.23,-9.23,-53.59,-32.47,-44.36,-23.23,651.57,21.63,13.68
2024/8/2 3:00,1.28,0.06,0,0.94,-3.36,6132.65,-42.23,-32.3,0,-3.59,-0.01,0.08,0.04,18.07,85.1,18.23,-23.32,-147.18,34.23,17.58,0.72,0.87,-2.32,1.61,87.34,15.91,1.82,2.08,18.23,87.42,1.84,2.1,2.65,13.66,2.65,22.31,24.03,6.28,4.52,0.11,0.11,-9.93,-9.93,-51.59,-32.86,-41.66,-22.93,661.53,21.35,13.52
2024/8/2 3:30,2.15,0.09,0,-1.58,-5.6,6051.18,-39.31,-28.77,0,3.53,0,0.07,0.08,18.04,85.1,18.29,-19.91,-139.68,40.99,17.57,1.47,1.49,-1.56,2.42,87.74,15.95,1.82,2.08,18.29,87.36,1.84,2.11,2.67,13.7,2.56,22.02,23.83,6.26,4.53,0.11,0.11,-10.54,-10.54,-45.08,-33.53,-34.54,-22.99,669.52,21.39,13.55
2024/8/2 4:00,0.31,0.01,0,-0.19,-0.42,4264.94,-42.1,-30.96,0,2.28,0,0.06,0.01,17.53,85.08,17.75,-16.01,-132.18,47.3,17.57,0.97,1.24,-1.57,1.59,89.87,15.82,1.81,2.01,17.75,89.61,1.83,2.04,2.12,13.61,2.05,21.73,23.63,6.24,4.47,0.11,0.1,-11.14,-11.14,-42.86,-41.35,-31.72,-30.21,668.96,21.23,13.46
2024/8/2 4:30,1.87,0.08,0,-0.83,0.28,4186.88,-38.3,-26.73,0,-0.33,0,0.06,0,17.13,85.08,17.27,-11.71,-124.68,53.19,17.56,0.34,0.49,-1.85,1.42,91.98,15.79,1.8,1.96,17.27,92.2,1.82,1.98,1.54,13.61,1.58,21.49,23.43,6.29,4.46,0.11,0.1,-11.57,-11.57,-43.21,-33.4,-31.64,-21.82,696.21,21.19,13.46
2024/8/2 5:00,11.35,0.5,0.01,6.36,-5.29,3148.3,-37.23,-25.58,0,-0.83,-0.02,0.13,0.04,16.99,85.09,17.03,-7.07,-117.18,58.72,17.56,0.47,0.74,-0.73,1.66,91.86,15.63,1.78,1.94,17.03,92.81,1.81,1.95,1.4,13.5,1.6,21.29,23.24,6.21,4.46,0.11,0.1,-11.65,-11.65,-40.83,-33.63,-29.18,-21.98,704.07,20.97,13.33
2024/8/2 5:30,3.39,0.15,0,2.79,0.46,4042.4,-32.42,-20.77,0,0.16,-0.01,0.08,-0.01,16.94,85.11,17.18,-2.01,-109.68,63.94,17.55,0.36,0.68,2.51,2.58,91.99,15.6,1.78,1.94,17.18,91.77,1.8,1.97,1.62,13.47,1.56,21.1,23.05,6.16,4.47,0.11,0.1,-11.65,-11.65,-32.5,-32.34,-20.86,-20.69,729.92,20.92,13.3
2024/8/2 6:00,-11.94,-0.53,0,2.83,7.09,2936.4,-35.32,-23.74,0,2.51,-0.01,0.09,-0.07,17.02,85.12,17.13,3.13,-102.18,68.94,17.54,0.05,0.3,30.51,8.21,90.97,15.51,1.77,1.95,17.13,91.35,1.79,1.96,1.7,13.37,1.77,20.93,22.88,6.13,4.48,0.11,0.1,-11.58,-11.58,-38.67,-31.97,-27.09,-20.38,717.01,20.8,13.22
2024/8/2 6:30,1.15,0.05,0.01,6.07,-0.83,3213.97,-25.73,-14.27,0,-0.14,0,0.06,0.01,17.86,85.15,18.11,8.3,-94.68,73.77,17.54,0.61,0.7,48.08,10.71,89.11,15.98,1.83,2.05,18.11,88.27,1.84,2.09,2.45,13.69,2.29,20.79,22.71,6.11,4.48,0.11,0.1,-11.46,-11.46,-21.42,-30.04,-9.96,-18.57,705.75,21.44,13.59
